date,facilitator_email,student_id,student_name,tier,risk_score,action,followup_due
2025-10-15,facilitator1@noon.com,S005,Omar Al-Harbi,HIGH,26.7,call_parent,2025-10-09
2025-10-15,facilitator1@noon.com,S012,Amal Al-Juhani,HIGH,64.0,one_on_one,
2025-10-15,facilitator1@noon.com,S004,Fatima Al-Qahtani,HIGH,58.7,one_on_one,
2025-10-15,facilitator1@noon.com,S019,Khalid Al-Anzi,HIGH,55.0,one_on_one,
2025-10-15,facilitator1@noon.com,S016,Fatima Al-Khaldi,HIGH,53.0,one_on_one,
2025-10-16,facilitator1@noon.com,S015,Ahmad Al-Faraj,HIGH,41.0,one_on_one,
2025-10-16,facilitator1@noon.com,S009,Abdullah Al-Maliki,HIGH,37.5,one_on_one,
2025-10-15,facilitator2@noon.com,S022,Nora Al-Qaisi,CRITICAL,68.7,call_parent,
2025-10-15,facilitator2@noon.com,S033,Abdullah Al-Saud,HIGH,59.8,one_on_one,
2025-10-15,facilitator2@noon.com,S038,Layla Al-Shammari,HIGH,57.0,one_on_one,
2025-10-15,facilitator2@noon.com,S027,Ahmad Al-Salem,HIGH,54.5,one_on_one,
2025-10-15,facilitator2@noon.com,S035,Hassan Al-Qahtani,HIGH,40.2,one_on_one,
2025-10-16,facilitator2@noon.com,S023,Hassan Al-Dossari,HIGH,21.6,call_parent,
2025-10-15,facilitator3@noon.com,S073,Yousef Al-Saud,HIGH,61.5,one_on_one,
2025-10-15,facilitator3@noon.com,S061,Yousef Al-Juhani,HIGH,60.5,one_on_one,
2025-10-15,facilitator3@noon.com,S049,Yousef Al-Mutlaq,HIGH,59.5,one_on_one,
2025-10-15,facilitator3@noon.com,S066,Sara Al-Anzi,HIGH,57.8,one_on_one,
2025-10-15,facilitator3@noon.com,S054,Sara Al-Khalifa,HIGH,56.7,one_on_one,
2025-10-16,facilitator3@noon.com,S044,Maryam Al-Faraj,HIGH,55.0,one_on_one,
2025-10-16,facilitator3@noon.com,S075,Ahmad Al-Ghamdi,HIGH,43.6,one_on_one,
2025-10-16,facilitator3@noon.com,S063,Ahmad Al-Subai,HIGH,41.5,one_on_one,
2025-10-16,facilitator3@noon.com,S069,Abdullah Al-Mutlaq,HIGH,41.0,one_on_one,
2025-10-16,facilitator3@noon.com,S041,Omar Al-Juhani,HIGH,40.8,one_on_one,
2025-10-17,facilitator3@noon.com,S051,Ahmad Al-Mansour,HIGH,35.8,one_on_one,
2025-10-15,facilitator4@noon.com,S091,Khalid Al-Thani,HIGH,64.2,call_parent,
2025-10-15,facilitator4@noon.com,S096,Amal Al-Salem,HIGH,63.5,one_on_one,
2025-10-15,facilitator4@noon.com,S084,Amal Al-Subai,HIGH,62.4,one_on_one,
2025-10-15,facilitator4@noon.com,S078,Sara Al-Shammari,HIGH,60.3,one_on_one,
2025-10-15,facilitator4@noon.com,S089,Omar Al-Qaisi,HIGH,59.2,one_on_one,
2025-10-16,facilitator4@noon.com,S086,Layla Al-Khaldi,HIGH,45.4,one_on_one,
2025-10-16,facilitator4@noon.com,S093,Abdullah Al-Rashidi,HIGH,41.3,one_on_one,
2025-10-15,facilitator5@noon.com,S108,Amal Al-Subai,HIGH,61.9,one_on_one,
2025-10-15,facilitator5@noon.com,S113,Omar Al-Qaisi,HIGH,60.5,one_on_one,
2025-10-15,facilitator5@noon.com,S102,Sara Al-Shammari,HIGH,53.9,one_on_one,
2025-10-15,facilitator5@noon.com,S110,Layla Al-Khaldi,HIGH,42.8,one_on_one,
2025-10-15,facilitator5@noon.com,S105,Abdullah Al-Otaibi,HIGH,40.8,one_on_one,
2025-10-16,facilitator5@noon.com,S101,Omar Al-Qahtani,HIGH,22.6,call_parent,
2025-10-15,facilitator6@noon.com,S132,Amal Al-Subai,CRITICAL,74.2,call_parent,
2025-10-15,facilitator6@noon.com,S120,Amal Al-Salem,CRITICAL,73.2,call_parent,
2025-10-15,facilitator6@noon.com,S137,Omar Al-Qaisi,CRITICAL,72.7,call_parent,
2025-10-15,facilitator6@noon.com,S126,Sara Al-Shammari,CRITICAL,71.7,call_parent,
2025-10-15,facilitator6@noon.com,S123,Ahmad Al-Dossari,HIGH,60.0,call_parent,
2025-10-16,facilitator6@noon.com,S122,Layla Al-Mutairi,HIGH,43.6,one_on_one,
2025-10-16,facilitator6@noon.com,S140,Maryam Al-Mansour,HIGH,41.3,one_on_one,
2025-10-16,facilitator6@noon.com,S129,Abdullah Al-Otaibi,HIGH,41.0,one_on_one,
2025-10-16,facilitator6@noon.com,S134,Layla Al-Khaldi,MEDIUM,27.0,motivational_message,
2025-10-15,facilitator7@noon.com,S155,Hassan Al-Balawi,CRITICAL,76.4,call_parent,
2025-10-15,facilitator7@noon.com,S144,Amal Al-Salem,CRITICAL,75.3,call_parent,
2025-10-15,facilitator7@noon.com,S159,Ahmad Al-Anzi,CRITICAL,74.8,call_parent,
2025-10-15,facilitator7@noon.com,S149,Omar Al-Qahtani,CRITICAL,73.7,call_parent,
2025-10-15,facilitator7@noon.com,S145,Yousef Al-Harbi,CRITICAL,67.8,call_parent,
2025-10-16,facilitator7@noon.com,S161,Omar Al-Qaisi,HIGH,54.1,one_on_one,
