student_id,student_name,campus_id,facilitator_email,grade,learning_track,quiz_score,target_score,avg_attend_min,attend_trend,avg_practice,zero_practice_days_recent,note_count,quiz,attendance,attend_decline,practice,contact,risk_score,tier
S199,Khalid Al-Zahrani,C05,facilitator8@noon.com,10,Remedial,9.0,12,5.7,-0.5999999999999996,0.6,3,0,37.8,18.7,0.2,15.0,10.0,81.7,CRITICAL
S194,Layla Al-Mutairi,C05,facilitator8@noon.com,11,Remedial,11.0,14,8.3,-0.5999999999999996,0.6,3,0,37.2,18.2,0.2,15.0,10.0,80.6,CRITICAL
S188,Maryam Al-Mansour,C05,facilitator8@noon.com,11,Remedial,13.0,16,10.8,-0.40000000000000036,0.6,3,0,36.8,17.6,0.1,15.0,10.0,79.5,CRITICAL
S182,Layla Al-Khaldi,C05,facilitator8@noon.com,11,Remedial,15.0,18,13.2,-0.40000000000000036,0.6,3,0,36.2,17.1,0.1,15.0,10.0,78.5,CRITICAL
S166,Nora Al-Saud,C05,facilitator8@noon.com,11,Remedial,17.0,20,15.7,-0.5999999999999996,0.6,3,0,35.8,16.5,0.2,15.0,10.0,77.5,CRITICAL
S177,Abdullah Al-Otaibi,C05,facilitator8@noon.com,10,Remedial,18.0,21,15.7,-0.5999999999999996,0.6,3,0,35.5,16.5,0.2,15.0,10.0,77.2,CRITICAL
S155,Hassan Al-Balawi,C04,facilitator7@noon.com,10,Remedial,19.0,22,18.3,-0.6000000000000014,0.6,3,0,35.2,15.9,0.2,15.0,10.0,76.4,CRITICAL
S171,Ahmad Al-Dossari,C05,facilitator8@noon.com,10,Remedial,20.0,24,18.3,-0.6000000000000014,0.8,3,0,35.0,15.9,0.2,15.0,10.0,76.1,CRITICAL
S144,Amal Al-Salem,C04,facilitator7@noon.com,11,Remedial,21.0,25,20.8,-0.3999999999999986,0.6,3,0,34.8,15.4,0.1,15.0,10.0,75.3,CRITICAL
S159,Ahmad Al-Anzi,C04,facilitator7@noon.com,10,Remedial,23.0,27,20.8,-0.3999999999999986,0.8,3,0,34.2,15.4,0.1,15.0,10.0,74.8,CRITICAL
S132,Amal Al-Subai,C04,facilitator6@noon.com,11,Remedial,23.0,27,23.2,-0.3999999999999986,0.6,3,0,34.2,14.8,0.1,15.0,10.0,74.2,CRITICAL
S149,Omar Al-Qahtani,C04,facilitator7@noon.com,10,Remedial,25.0,29,23.2,-0.3999999999999986,0.8,3,0,33.8,14.8,0.1,15.0,10.0,73.7,CRITICAL
S120,Amal Al-Salem,C04,facilitator6@noon.com,11,Remedial,25.0,29,25.7,-0.6000000000000014,0.6,3,0,33.8,14.3,0.2,15.0,10.0,73.2,CRITICAL
S137,Omar Al-Qaisi,C04,facilitator6@noon.com,10,Remedial,27.0,32,25.7,-0.6000000000000014,0.8,3,0,33.2,14.3,0.2,15.0,10.0,72.7,CRITICAL
S126,Sara Al-Shammari,C04,facilitator6@noon.com,11,Remedial,29.0,35,28.3,-0.6000000000000014,0.8,3,0,32.8,13.7,0.2,15.0,10.0,71.7,CRITICAL
S022,Nora Al-Qaisi,C01,facilitator2@noon.com,11,Remedial,32.0,40,38.3,-0.6000000000000014,0.6,3,0,32.0,11.5,0.2,15.0,10.0,68.7,CRITICAL
S145,Yousef Al-Harbi,C04,facilitator7@noon.com,10,Remedial,0.0,75,22.77777777777778,44.5,4.3,1,4,40.0,14.9,0.0,12.8,0.0,67.8,CRITICAL
S091,Khalid Al-Thani,C03,facilitator4@noon.com,10,Remedial,48.0,65,42.8,-55.599999999999994,8.6,2,5,28.0,10.5,10.0,10.7,5.0,64.2,HIGH
S012,Amal Al-Juhani,C01,facilitator1@noon.com,11,Remedial,28.0,35,31.11111111111111,-8.75,0.9,3,3,33.0,13.1,2.9,15.0,0.0,64.0,HIGH
S096,Amal Al-Salem,C03,facilitator4@noon.com,11,Remedial,24.0,28,25.7,-0.6000000000000014,0.6,3,1,34.0,14.3,0.2,15.0,0.0,63.5,HIGH
S084,Amal Al-Subai,C03,facilitator4@noon.com,11,Remedial,26.0,30,28.3,-0.6000000000000014,0.6,3,1,33.5,13.7,0.2,15.0,0.0,62.4,HIGH
S108,Amal Al-Subai,C03,facilitator5@noon.com,11,Remedial,28.0,33,28.3,-0.6000000000000014,0.8,3,1,33.0,13.7,0.2,15.0,0.0,61.9,HIGH
S073,Yousef Al-Saud,C02,facilitator3@noon.com,10,Remedial,27.0,32,30.8,-0.3999999999999986,0.6,3,1,33.2,13.2,0.1,15.0,0.0,61.5,HIGH
S113,Omar Al-Qaisi,C03,facilitator5@noon.com,10,Remedial,31.0,37,30.8,-0.3999999999999986,0.8,3,1,32.2,13.2,0.1,15.0,0.0,60.5,HIGH
S061,Yousef Al-Juhani,C02,facilitator3@noon.com,10,Remedial,29.0,35,33.2,-0.3999999999999986,0.8,3,1,32.8,12.6,0.1,15.0,0.0,60.5,HIGH
S078,Sara Al-Shammari,C03,facilitator4@noon.com,11,Remedial,30.0,36,33.2,-0.3999999999999986,0.8,3,1,32.5,12.6,0.1,15.0,0.0,60.3,HIGH
S123,Ahmad Al-Dossari,C04,facilitator6@noon.com,10,Standard,58.0,73,69.8,-34.4,0.5,3,5,25.5,4.5,10.0,15.0,5.0,60.0,HIGH
S033,Abdullah Al-Saud,C01,facilitator2@noon.com,10,Remedial,30.0,38,35.7,-0.6000000000000014,0.8,3,1,32.5,12.1,0.2,15.0,0.0,59.8,HIGH
S190,Nora Al-Saud,C05,facilitator8@noon.com,11,Remedial,46.0,65,43.0,-60.0,8.6,2,5,28.5,10.4,10.0,10.7,0.0,59.6,HIGH
S049,Yousef Al-Mutlaq,C02,facilitator3@noon.com,10,Remedial,31.0,38,35.7,-0.6000000000000014,0.6,3,1,32.2,12.1,0.2,15.0,0.0,59.5,HIGH
S089,Omar Al-Qaisi,C03,facilitator4@noon.com,10,Remedial,33.0,40,30.8,-0.3999999999999986,1.6,1,1,31.8,13.2,0.1,14.2,0.0,59.2,HIGH
S004,Fatima Al-Qahtani,C01,facilitator1@noon.com,11,Remedial,42.0,45,45.3,-0.6000000000000014,1.8,2,2,29.5,9.9,0.2,14.1,5.0,58.7,HIGH
S184,Fatima Al-Shahrani,C05,facilitator8@noon.com,11,Remedial,55.0,60,49.0,0.7999999999999972,4.5,0,0,26.2,9.1,0.0,12.8,10.0,58.1,HIGH
S066,Sara Al-Anzi,C02,facilitator3@noon.com,11,Remedial,34.0,40,35.7,-0.6000000000000014,2.0,1,1,31.5,12.1,0.2,14.0,0.0,57.8,HIGH
S038,Layla Al-Shammari,C01,facilitator2@noon.com,11,Remedial,35.0,42,38.3,-0.6000000000000014,1.9,1,1,31.2,11.5,0.2,14.0,0.0,57.0,HIGH
S054,Sara Al-Khalifa,C02,facilitator3@noon.com,11,Remedial,36.0,43,38.3,-0.6000000000000014,1.9,1,1,31.0,11.5,0.2,14.0,0.0,56.7,HIGH
S173,Omar Al-Qahtani,C05,facilitator8@noon.com,10,Standard,57.0,61,54.7,0.6000000000000014,5.5,0,0,25.8,7.8,0.0,12.2,10.0,55.8,HIGH
S019,Khalid Al-Anzi,C01,facilitator1@noon.com,10,Remedial,38.0,50,42.9,-1.0,2.7,0,1,30.5,10.5,0.3,13.7,0.0,55.0,HIGH
S044,Maryam Al-Faraj,C02,facilitator3@noon.com,11,Remedial,39.0,47,40.8,-0.3999999999999986,2.7,0,1,30.2,10.9,0.1,13.7,0.0,55.0,HIGH
S196,Fatima Al-Ghamdi,C05,facilitator8@noon.com,11,Remedial,45.0,52,29.0,0.7999999999999972,4.8,0,2,28.8,13.6,0.0,12.6,0.0,54.9,HIGH
S027,Ahmad Al-Salem,C01,facilitator2@noon.com,10,Remedial,40.0,48,41.0,0.0,2.7,0,1,30.0,10.9,0.0,13.7,0.0,54.5,HIGH
S161,Omar Al-Qaisi,C04,facilitator7@noon.com,10,Standard,59.0,63,58.0,0.7999999999999972,6.5,0,0,25.2,7.1,0.0,11.8,10.0,54.1,HIGH
S102,Sara Al-Shammari,C03,facilitator5@noon.com,11,Remedial,41.0,48,42.3,-1.0,3.5,0,1,29.8,10.6,0.3,13.2,0.0,53.9,HIGH
S016,Fatima Al-Khaldi,C01,facilitator1@noon.com,11,Remedial,55.0,65,49.5,1.7999999999999972,14.5,0,0,26.2,9.0,0.0,7.7,10.0,53.0,HIGH
S191,Hassan Al-Khalifa,C05,facilitator8@noon.com,10,Remedial,47.0,54,34.0,1.2000000000000028,6.7,0,2,28.2,12.4,0.0,11.6,0.0,52.3,HIGH
S179,Hassan Al-Balawi,C05,facilitator8@noon.com,10,Remedial,49.0,55,36.5,1.0,8.0,0,2,27.8,11.9,0.0,11.0,0.0,50.6,HIGH
S168,Amal Al-Salem,C05,facilitator8@noon.com,11,Remedial,51.0,57,39.0,0.7999999999999972,10.0,0,2,27.2,11.3,0.0,10.0,0.0,48.6,HIGH
S146,Layla Al-Mutairi,C04,facilitator7@noon.com,11,Remedial,54.0,61,43.9,2.200000000000003,12.0,0,2,26.5,10.2,0.0,9.0,0.0,45.7,HIGH
S086,Layla Al-Khaldi,C03,facilitator4@noon.com,11,Remedial,53.0,60,41.5,1.0,14.2,0,2,26.8,10.8,0.0,7.9,0.0,45.4,HIGH
S075,Ahmad Al-Ghamdi,C02,facilitator3@noon.com,10,Remedial,54.0,61,43.9,2.200000000000003,16.2,0,2,26.5,10.2,0.0,6.9,0.0,43.6,HIGH
S122,Layla Al-Mutairi,C04,facilitator6@noon.com,11,Remedial,56.0,63,46.6,2.0,14.0,0,2,26.0,9.6,0.0,8.0,0.0,43.6,HIGH
S110,Layla Al-Khaldi,C03,facilitator5@noon.com,11,Remedial,58.0,65,50.3,2.6000000000000014,13.0,0,2,25.5,8.8,0.0,8.5,0.0,42.8,HIGH
S185,Omar Al-Qaisi,C05,facilitator8@noon.com,10,Standard,53.0,68,87.7,0.5999999999999943,0.5,3,2,26.8,0.5,0.0,15.0,0.0,42.3,HIGH
S174,Sara Al-Shammari,C05,facilitator8@noon.com,11,Standard,54.0,69,87.7,0.5999999999999943,0.5,3,2,26.5,0.5,0.0,15.0,0.0,42.0,HIGH
S162,Sara Al-Mutlaq,C04,facilitator7@noon.com,11,Standard,55.0,70,87.7,0.5999999999999943,0.5,3,2,26.2,0.5,0.0,15.0,0.0,41.8,HIGH
S063,Ahmad Al-Subai,C02,facilitator3@noon.com,10,Remedial,56.0,63,46.6,2.0,18.3,0,2,26.0,9.6,0.0,5.9,0.0,41.5,HIGH
S152,Maryam Al-Maliki,C04,facilitator7@noon.com,11,Standard,56.0,71,87.7,0.5999999999999943,0.5,3,2,26.0,0.5,0.0,15.0,0.0,41.5,HIGH
S093,Abdullah Al-Rashidi,C03,facilitator4@noon.com,10,Standard,57.0,72,87.7,0.5999999999999943,0.5,3,2,25.8,0.5,0.0,15.0,0.0,41.3,HIGH
S140,Maryam Al-Mansour,C04,facilitator6@noon.com,11,Standard,57.0,72,87.7,0.5999999999999943,0.5,3,2,25.8,0.5,0.0,15.0,0.0,41.3,HIGH
S129,Abdullah Al-Otaibi,C04,facilitator6@noon.com,10,Standard,58.0,73,87.7,0.5999999999999943,0.5,3,2,25.5,0.5,0.0,15.0,0.0,41.0,HIGH
S015,Ahmad Al-Faraj,C01,facilitator1@noon.com,10,Standard,58.0,75,87.6,1.2000000000000028,0.5,3,3,25.5,0.5,0.0,15.0,0.0,41.0,HIGH
S069,Abdullah Al-Mutlaq,C02,facilitator3@noon.com,10,Standard,58.0,73,87.7,0.5999999999999943,0.5,3,2,25.5,0.5,0.0,15.0,0.0,41.0,HIGH
